term,score
intelligence,0.021932694345757266
artificial intelligence,0.020133309080322015
artificial,0.020133309080322015
internet,0.01661029370411431
engineering,0.015750637713671856
robotics,0.01571361518434208
devops,0.01347320752813457
learn,0.01171391629971065
robotics research,0.009428946427889244
science,0.009276573829717406
devops market,0.008982138352089712
